id,title,genre,budget,revenue,production_companies,united_states,english,title_change,popularity,vote_average,vote_count,month,year,runtime,successful
2386,Brave,Animation,185000000,538983207,2,Yes,Yes,No,125.114374,6.7,4641,6,2012,93,1
2387,30 Minutes or Less,Action,28000000,40547440,1,Yes,Yes,No,25.039383,5.6,531,8,2011,83,0
2388,Monsters University,Animation,200000000,743559607,2,Yes,Yes,No,89.186492,7,3528,6,2013,104,1
2389,Dark Shadows,Comedy,150000000,245527149,7,Yes,Yes,No,50.306728,5.7,2320,5,2012,113,0
2390,Frankenweenie,Animation,39000000,35287788,1,Yes,Yes,No,27.908783,6.6,932,10,2012,87,0
2391,Melancholia,Drama,7400000,21817298,19,No,Yes,No,36.173598,7,885,5,2011,136,1
2392,Tracker,Action,6500000,0,3,No,Yes,No,2.074295,6,16,5,2010,102,0
2393,Guiana 1838,Drama,0,0,0,Yes,Yes,No,0.030253,2.8,3,9,2004,120,0
2394,The Devil's Double,Action,19100000,5728213,3,No,Yes,No,10.559414,6.5,208,2,2011,109,0
2395,Songcatcher,Drama,0,0,2,Yes,Yes,No,3.363321,5.6,9,3,2001,109,0
2396,Brighton Rock,Drama,0,0,3,No,Yes,No,3.122152,5.6,35,9,2010,111,0
2397,Mirror Mirror,Drama,85000000,183018522,6,Yes,Yes,No,48.126297,5.5,1114,3,2012,106,1
2398,Colombiana,Action,40000000,60965854,6,No,Yes,No,33.785969,6.5,824,7,2011,108,0
2399,Dolphin Tale,Drama,37000000,95404397,2,Yes,Yes,No,6.63839,6.7,163,9,2011,113,1
2400,New Year's Eve,Comedy,56000000,142044638,1,Yes,Yes,No,21.219292,5.7,718,12,2011,118,1
2401,Dum Maaro Dum,Action,0,0,0,No,Yes,No,0.075817,5.4,7,4,2011,130,0
2402,The Poker House,Drama,0,0,1,Yes,Yes,No,2.948576,6.1,47,6,2008,93,0
2403,What's Your Number?,Comedy,20000000,30426096,3,Yes,Yes,No,19.220789,6.2,671,9,2011,106,0
2404,Joyful Noise,Comedy,0,0,4,Yes,Yes,No,5.753705,6.7,33,1,2012,117,0
2405,The Muppets,Comedy,45000000,165184237,1,Yes,Yes,No,17.047276,6.5,501,11,2011,103,1
2406,Quinceañera,Drama,0,0,0,Yes,Yes,No,0.034135,7,7,6,2006,90,0
2407,Straw Dogs,Drama,25000000,10324441,1,Yes,Yes,No,7.473455,5.5,144,9,2011,110,0
2408,The Art of Getting By,Drama,0,1406224,3,Yes,Yes,No,12.690224,6.5,415,6,2011,83,1
2409,The Great Gatsby,Drama,105000000,351040419,6,Yes,Yes,No,61.196071,7.3,3769,5,2013,143,1
2410,Extremely Loud & Incredibly Close,Drama,40000000,55247881,3,Yes,Yes,No,31.066874,6.9,708,12,2011,129,0
2411,47 Ronin,Action,175000000,150962475,5,Yes,Yes,No,41.796339,5.9,1326,12,2013,119,0
2412,21 Jump Street,Action,42000000,201585328,5,Yes,Yes,No,62.714026,6.7,4074,3,2012,109,1
