id,title,genre,budget,revenue,production_companies,united_states,english,title_change,popularity,vote_average,vote_count,month,year,runtime,successful
570,The Hitchhiker's Guide to the Galaxy,Comedy,50000000,104478416,4,Yes,Yes,No,51.742065,6.6,1315,1,2005,109,1
571,Speed Racer,Action,120000000,93945766,6,Yes,Yes,No,17.060695,5.7,354,5,2008,135,0
572,Vantage Point,Action,40000000,151161491,5,Yes,Yes,No,24.862767,6.2,716,2,2008,90,1
573,Open Season,Animation,85000000,197309027,1,Yes,Yes,No,26.61951,6.1,656,9,2006,83,1
574,Shooter,Action,61000000,95696996,3,Yes,Yes,No,37.378081,6.9,1462,3,2007,124,0
575,Knockaround Guys,Thriller,15000000,12000000,1,Yes,Yes,No,8.113634,5.9,97,9,2001,92,0
576,Water,Drama,0,10422387,4,No,No,No,2.787375,6.8,34,9,2005,115,1
577,Running with Scissors,Drama,12000000,6754898,1,Yes,Yes,No,4.770195,5.8,78,10,2006,116,0
578,Idiocracy,Comedy,30000000,495303,2,Yes,Yes,No,27.940093,6.3,664,9,2006,84,0
579,London,Action,0,0,4,Yes,Yes,No,5.350423,6.1,96,2,2005,92,0
580,Smokin' Aces,Action,17000000,57103895,5,Yes,Yes,No,23.491962,6.4,534,12,2006,109,1
581,Over the Hedge,Animation,80000000,343397247,2,Yes,Yes,No,36.32705,6.3,1074,4,2006,83,1
582,Come Early Morning,Drama,6000000,0,3,Yes,Yes,No,3.427061,5.9,10,1,2006,97,0
583,The Libertine,Drama,0,0,2,No,Yes,No,7.588597,5.9,128,9,2004,114,0
584,Fun with Dick and Jane,Comedy,100000000,202026112,3,Yes,Yes,No,25.159168,5.9,627,12,2005,90,1
585,Waiting...,Comedy,3000000,18637690,2,Yes,Yes,No,10.230583,6.2,237,10,2005,94,1
586,The Wave,Drama,7500000,19000000,1,No,No,Yes,25.281197,7.5,841,3,2008,107,1
587,Resident Evil: Extinction,Action,45000000,148412065,4,Yes,Yes,No,12.06538,6.1,1292,9,2007,94,1
588,Half Nelson,Drama,700000,4911725,6,Yes,Yes,No,12.378031,6.5,240,8,2006,107,1
589,Down in the Valley,Drama,8000000,852872,1,Yes,Yes,No,7.433574,5.9,63,5,2005,112,0
590,Harsh Times,Action,2000000,5967038,1,Yes,Yes,No,12.999023,6.3,197,9,2005,120,1
591,Black Snake Moan,Drama,15000000,10903846,1,Yes,Yes,No,11.429607,6.6,243,12,2006,116,0
592,Rang De Basanti,Drama,2200000,11502151,2,No,No,No,5.206967,7.2,97,1,2006,157,1
593,"Run, Fatboy, Run",Comedy,10000000,33000000,3,No,Yes,Yes,14.905357,6.2,238,9,2007,100,1
594,Shine a Light,Documentary,0,0,2,Yes,Yes,No,2.162522,7.2,44,2,2008,122,0
595,Caramel,Drama,0,0,12,No,No,Yes,4.554574,6.8,52,7,2007,96,0
596,The Wolfman,Drama,150000000,0,3,Yes,Yes,No,21.214571,5.5,549,2,2010,102,0
597,The Kite Runner,Drama,20000000,73276047,10,Yes,Yes,No,10.446722,7.3,394,10,2007,128,1
598,The Lovely Bones,Drama,65000000,93525586,6,Yes,Yes,No,29.257137,6.6,1065,12,2009,136,0
599,Behind Enemy Lines,Action,40000000,91753202,2,Yes,Yes,No,24.012986,6,457,11,2001,106,1
600,Gigli,Drama,54000000,7266209,3,Yes,Yes,No,9.053456,3.5,104,8,2003,121,0
601,Punch-Drunk Love,Drama,25000000,17000000,3,Yes,Yes,No,15.960916,6.9,530,10,2002,95,0
602,The Three Burials of Melquiades Estrada,Drama,15000000,12036149,2,Yes,Yes,No,12.163832,7,177,11,2005,121,0
603,The Imaginarium of Doctor Parnassus,Fantasy,30000000,64352607,12,No,Yes,No,37.181019,6.3,869,10,2009,123,1
604,The Reader,Drama,32000000,113019290,9,Yes,Yes,No,33.923786,7.2,813,12,2008,124,1
605,Married Life,Drama,12000000,0,3,Yes,Yes,No,3.004432,6.1,38,9,2007,90,0
606,21,Drama,35000000,69823199,2,Yes,Yes,No,45.149948,6.5,1375,3,2008,123,0
607,Suspect Zero,Thriller,27000000,13000000,4,Yes,Yes,No,8.715822,5.5,98,8,2004,99,0
608,Untraceable,Drama,35000000,32483410,3,Yes,Yes,No,12.677505,5.9,238,1,2008,101,0
609,You Kill Me,Comedy,4000000,2426851,7,Yes,Yes,No,6.091951,6.2,80,2,2007,90,0
610,Napoleon Dynamite,Comedy,400000,46118097,6,Yes,Yes,No,23.603514,6.7,554,6,2004,95,1
611,The Quiet American,Action,30000000,27674124,3,Yes,Yes,No,5.133744,6.4,81,11,2002,101,0
612,Æon Flux,Action,62000000,52304001,6,Yes,Yes,No,29.954302,5.4,703,11,2005,93,0
613,The Spiderwick Chronicles,Fantasy,90000000,162839667,2,Yes,Yes,No,21.436682,6.3,572,2,2008,95,0
614,Jumper,Fantasy,85000000,222231186,3,Yes,No,No,21.218,5.9,1799,2,2008,88,1
615,Welcome to the Sticks,Comedy,11000000,53191886,9,No,No,Yes,18.923181,6.8,615,1,2008,106,1
616,Disturbia,Drama,20000000,117760134,4,Yes,Yes,No,31.690456,6.6,1006,4,2007,105,1
617,The Savages,Drama,0,0,5,Yes,Yes,No,5.663889,6.8,110,1,2007,114,0
618,American Wedding,Comedy,55000000,231449203,4,Yes,Yes,No,36.194802,6,1129,8,2003,103,1
619,The Spirit,Action,60000000,39031337,6,Yes,Yes,No,14.84856,4.7,320,12,2008,103,0
620,Four Brothers,Action,45000000,92374674,2,Yes,Yes,No,24.694551,6.7,607,8,2005,109,1
621,In Bruges,Drama,15000000,34533783,5,Yes,Yes,No,25.329493,7.4,1388,2,2008,107,1
622,Holes,Drama,20000000,0,4,Yes,Yes,No,22.001408,6.7,383,4,2003,117,0
623,Step Up 2: The Streets,Drama,23000000,150816700,3,Yes,Yes,No,28.973074,6.5,640,2,2008,98,1
624,[REC],Horror,1500000,30448000,1,No,No,No,31.691617,7.1,934,4,2007,78,1
625,Blindness,Drama,25000000,19844979,13,No,Yes,No,17.603823,6.4,387,5,2008,121,0
626,My Big Fat Greek Wedding,Drama,5000000,368744044,5,Yes,Yes,No,18.115566,6.2,671,2,2002,95,1
627,Ice Age: Dawn of the Dinosaurs,Animation,90000000,886686817,2,Yes,Yes,No,69.457898,6.5,2271,6,2009,94,1
628,What the #$*! Do We (K)now!?,Documentary,0,10000000,1,Yes,Yes,No,7.288352,5.8,34,4,2004,109,1
629,Cast Away,Drama,90000000,429632142,4,Yes,Yes,No,57.739713,7.5,3218,12,2000,143,1
630,Kit Kittredge: An American Girl,Drama,0,0,7,Yes,Yes,No,6.27141,6.4,34,7,2008,101,0
631,Superbad,Comedy,20000000,121463226,2,Yes,Yes,No,33.436092,7,2100,8,2007,113,1
632,Transformers: Revenge of the Fallen,Action,150000000,836297228,7,Yes,Yes,No,21.939663,6,3138,6,2009,150,1
633,How High,Comedy,12000000,31155435,3,Yes,Yes,No,11.510281,6.3,218,12,2001,93,1
634,"Definitely, Maybe",Comedy,0,55447968,4,Yes,Yes,No,29.173266,6.7,620,2,2008,112,1
635,A Man Apart,Action,36000000,44350926,4,Yes,Yes,No,19.854932,5.8,258,4,2003,109,0
636,I Spy,Action,70000000,33561137,1,Yes,Yes,No,13.267631,5.2,269,10,2002,97,0
637,A Cock and Bull Story,Drama,0,0,6,No,Yes,No,3.500741,6.2,43,7,2005,94,0
638,The 6th Day,Other,82000000,96085477,1,Yes,Yes,No,18.447479,5.7,595,11,2000,123,0
639,Never Back Down,Action,20000000,41627431,3,Yes,Yes,No,26.21425,6.4,497,3,2008,115,1
640,Drillbit Taylor,Comedy,40000000,0,2,Yes,Yes,No,15.055732,5.5,275,3,2008,102,0
641,Funny Games,Thriller,15000000,7938872,4,Yes,Yes,No,15.175289,6.3,545,10,2007,112,0
642,John Q,Drama,36000000,102244770,3,Yes,Yes,No,27.465433,7,594,2,2002,116,1
643,Hitch,Drama,70000000,368100420,2,Yes,Yes,No,34.576913,6.4,1665,2,2005,118,1
644,Ali,Drama,107000000,87713825,1,Yes,Yes,No,18.866672,6.7,447,12,2001,157,0
645,Shanghai Noon,Action,55000000,56932305,3,Yes,Yes,No,25.400935,6.2,735,5,2000,110,0
646,Prom Night,Horror,0,14796236,1,Yes,Yes,No,9.642041,4.8,167,4,2008,88,1
647,The History Boys,Drama,4000000,13401952,3,No,Yes,No,3.771652,6.6,66,10,2006,109,1
648,Master and Commander: The Far Side of the World,Adventure,150000000,212011111,4,Yes,Yes,No,36.973031,6.9,790,11,2003,138,0
649,The Exorcism of Emily Rose,Drama,19000000,144216468,3,Yes,Yes,No,32.602868,6.3,659,9,2005,122,1
650,The Happening,Thriller,60000000,163403799,5,Yes,Yes,No,20.501582,4.9,950,6,2008,91,1
651,K-19: The Widowmaker,Drama,100000000,35168966,6,Yes,Yes,No,15.625949,6.1,264,7,2002,138,0
652,Charlie Bartlett,Drama,12000000,0,1,Yes,Yes,No,9.779444,6.5,225,2,2008,97,0
653,Fool's Gold,Comedy,70000000,111231041,2,Yes,Yes,No,21.789615,5.4,444,2,2008,112,0
654,Taken,Action,25000000,226830568,9,Yes,Yes,No,80.879032,7.2,4369,2,2008,93,1
655,The League of Extraordinary Gentlemen,Action,78000000,179265204,5,Yes,Yes,No,47.436675,5.7,1155,7,2003,110,1
656,Anchorman: The Legend of Ron Burgundy,Comedy,26000000,90574188,1,Yes,Yes,No,29.342744,6.7,1493,7,2004,94,1
657,Baby Mama,Comedy,30000000,63833449,2,Yes,Yes,No,11.409124,5.8,205,4,2008,99,1
658,Doom,Action,60000000,55987321,7,Yes,Yes,No,29.261348,5,609,10,2005,105,0
659,Legally Blonde,Comedy,18000000,141774679,2,Yes,Yes,No,25.43954,6.1,882,7,2001,96,1
660,The X Files: I Want to Believe,Drama,30000000,68369434,4,Yes,Yes,No,25.454549,5.5,523,7,2008,104,1
661,The Class,Drama,0,28814580,2,No,No,Yes,13.437038,6.8,174,9,2008,128,1
662,Against the Ropes,Drama,39000000,6614280,5,Yes,Yes,No,2.817364,4.5,32,2,2004,106,0
663,The Cell,Thriller,33000000,104155843,5,Yes,Yes,No,25.413955,6,436,8,2000,107,1
664,Standard Operating Procedure,Documentary,0,0,1,Yes,Yes,No,0.888986,6.6,14,2,2008,117,0
665,The Bank Job,Drama,20000000,64822796,5,Yes,Yes,No,30.387754,6.6,697,2,2008,112,1
666,Alfie,Comedy,60000000,13395939,2,Yes,Yes,No,15.219263,5.6,248,10,2004,103,0
667,"Dude, Where’s My Car?",Comedy,13000000,73180723,2,Yes,Yes,No,25.316146,5.2,509,12,2000,83,1
668,Eight Legged Freaks,Action,0,0,5,Yes,Yes,No,17.834976,5.4,295,7,2002,99,0
669,Red Planet,Action,80000000,33463969,5,Yes,Yes,No,13.800656,5.4,267,11,2000,106,0
670,How the Grinch Stole Christmas,Comedy,123000000,345141403,2,Yes,Yes,No,45.419668,6.2,1386,11,2000,104,1
671,Timber Falls,Thriller,2600000,0,4,Yes,Yes,No,3.687574,5.2,38,12,2007,97,0
672,Flame & Citron,Drama,6500000,0,25,No,No,Yes,7.028946,6.8,68,3,2008,130,0
673,Waltz with Bashir,Animation,2000000,11125849,3,No,Yes,Yes,14.08251,7.8,291,6,2008,90,1
674,Wanted,Action,75000000,258270008,9,Yes,Yes,No,73.82289,6.4,2528,6,2008,110,1
675,Garfield,Animation,50000000,200804534,3,Yes,Yes,No,17.667826,5.2,820,6,2004,80,1
676,Jeepers Creepers,Thriller,10000000,59217789,5,Yes,Yes,No,23.316208,6.1,720,7,2001,90,1
677,Wendy and Lucy,Drama,200000,0,5,Yes,Yes,No,0.713906,6.4,64,5,2008,80,0
678,What Just Happened,Drama,25000000,6673422,4,Yes,Yes,No,8.31653,5.2,127,10,2008,104,0
679,I Love You Phillip Morris,Drama,13000000,10652035,1,Yes,Yes,No,19.664699,6.4,503,1,2009,98,0
680,Steamboy,Animation,20000000,0,3,No,Yes,No,9.129808,6.4,102,7,2004,126,0
681,Hancock,Action,150000000,624029371,7,Yes,Yes,No,56.758411,6.2,2961,7,2008,92,1
682,Bad Boys II,Action,130000000,273339556,2,Yes,Yes,No,38.068736,6.3,1564,7,2003,147,1
683,Twilight,Drama,37000000,392616625,6,Yes,Yes,No,127.084938,5.8,3561,11,2008,122,1
684,The Tree of Life,Drama,32000000,54674226,3,Yes,Yes,No,43.862456,6.5,987,5,2011,139,0
685,Boogeyman,Drama,20000000,67192859,4,Yes,Yes,No,11.62423,4.6,191,2,2005,89,1
686,The Marine,Action,20000000,22165608,3,Yes,Yes,No,7.679336,5,163,10,2006,92,0
687,A Lot Like Love,Comedy,30000000,42886719,4,Yes,Yes,No,19.212552,6.5,318,4,2005,107,0
688,Assault on Precinct 13,Thriller,30000000,35294470,4,Yes,Yes,No,18.706504,6,311,1,2005,109,0
689,Dear Frankie,Drama,0,0,6,No,Yes,No,3.11319,7,46,5,2004,105,0
690,The Protector,Action,6000000,27165581,3,No,Yes,Yes,11.81832,6.8,167,8,2005,108,1
691,Stop-Loss,Drama,25000000,11207130,4,Yes,Yes,No,4.002579,6.1,82,3,2008,113,0
692,Friends with Money,Drama,6500000,13368437,1,Yes,Yes,No,11.885221,5.1,128,9,2006,88,1
693,Derailed,Drama,22000000,57479076,3,Yes,Yes,No,17.7091,6.1,319,11,2005,108,1
694,Just Like Heaven,Comedy,58000000,102854431,3,Yes,Yes,No,13.43573,6.5,579,9,2005,95,0
695,Dark Water,Drama,30000000,25473093,4,Yes,Yes,No,14.376463,5.3,274,6,2005,105,0
696,Jackass: The Movie,Comedy,5000000,64282312,4,Yes,Yes,No,14.752587,6.1,345,10,2002,87,1
697,Treasure Planet,Animation,140000000,109578115,2,Yes,Yes,No,38.924136,7.2,948,11,2002,95,0
698,The Santa Clause 2,Comedy,65000000,172855065,3,Yes,Yes,No,14.646884,5.5,297,10,2002,104,1
699,All the Boys Love Mandy Lane,Thriller,750000,0,1,Yes,Yes,No,12.284939,5.7,209,2,2008,90,0
700,Spirit: Stallion of the Cimarron,Animation,80000000,122563539,2,Yes,Yes,No,41.670544,7.4,831,5,2002,83,0
701,The Importance of Being Earnest,Drama,0,0,1,Yes,Yes,No,7.250379,6.7,127,5,2002,97,0
702,The Guru,Comedy,0,0,2,Yes,Yes,No,4.093288,5.1,75,8,2002,91,0
703,What Happens in Vegas,Comedy,35000000,170000000,6,Yes,Yes,No,38.100488,5.8,923,5,2008,99,1
704,The Eye,Drama,12000000,56309766,2,Yes,Yes,No,11.135734,5.5,281,2,2008,98,1
705,The Banger Sisters,Drama,10000000,0,1,Yes,Yes,No,6.015354,5.5,62,9,2002,98,0
706,Slither,Comedy,15500000,0,1,Yes,Yes,No,17.327279,6.3,317,3,2006,95,0
707,Eight Below,Drama,40000000,120455994,6,Yes,Yes,No,24.287306,6.7,542,2,2006,120,1
708,The Cave,Action,30000000,15007991,5,Yes,Yes,No,10.756266,5.1,202,8,2005,97,0
709,The Family Stone,Drama,0,0,1,Yes,Yes,No,14.190837,6.2,249,12,2005,103,0
710,Amen.,Drama,0,0,6,No,Yes,No,5.930533,7.1,75,2,2002,132,0
711,DOA: Dead or Alive,Action,21000000,480314,6,Yes,Yes,No,12.790408,5,205,9,2006,87,0
712,Little Man,Comedy,64000000,101595121,2,Yes,Yes,No,12.421504,5.3,261,8,2006,98,0
713,The Man,Action,0,12382362,1,Yes,Yes,No,6.925645,5.4,133,9,2005,83,1
714,Black Book,Drama,21000000,26193068,17,No,Yes,Yes,13.906611,7.2,277,9,2006,145,0
715,The Four Feathers,Drama,35000000,29882645,6,Yes,Yes,No,10.10364,6.5,159,9,2002,132,0
716,Buffalo Soldiers,Drama,15000000,0,3,Yes,Yes,No,6.329672,6.5,93,9,2001,98,0
717,S.W.A.T.,Action,80000000,116643346,5,Yes,Yes,No,34.052253,5.8,770,8,2003,117,0
718,Welcome to Collinwood,Comedy,1200000,0,5,Yes,Yes,No,3.582733,6.2,50,5,2002,86,0
719,Blue Crush,Adventure,25000000,51842679,4,Yes,Yes,No,11.42943,5.6,159,8,2002,104,1
720,Death to Smoochy,Drama,55000000,0,4,Yes,Yes,No,11.329727,5.9,132,3,2002,109,0
721,Femme Fatale,Thriller,35000000,16838910,2,No,Yes,No,9.07278,6.2,142,11,2002,114,0
722,11:14,Drama,6000000,0,3,Yes,Yes,No,15.048067,6.8,206,5,2003,86,0
723,Road Trip,Comedy,16000000,119754278,2,Yes,Yes,No,14.759948,5.9,542,5,2000,93,1
724,Final Destination 3,Horror,25000000,117719158,6,Yes,Yes,No,31.64341,5.8,974,2,2006,93,1
725,Dungeons & Dragons: Wrath of the Dragon God,Action,0,0,4,Yes,Yes,No,4.901936,4.8,36,1,2005,105,0
726,Crocodile Dundee in Los Angeles,Comedy,21150000,39438674,3,Yes,Yes,No,6.081772,4.7,146,4,2001,92,0
727,The Longest Yard,Drama,82000000,190320568,5,Yes,Yes,No,26.065735,6.2,785,5,2005,113,1
728,Monster House,Animation,75000000,140175006,5,Yes,Yes,No,36.368839,6.3,874,7,2006,91,0
729,American Dreamz,Drama,17000000,7314027,2,Yes,Yes,No,7.864011,4.9,95,3,2006,107,0
730,Flightplan,Drama,55000000,223387299,2,Yes,Yes,No,32.05145,6.1,772,9,2005,98,1
731,The Scorpion King,Action,60000000,165333180,4,Yes,Yes,No,37.537093,5.3,779,4,2002,92,1
732,Transporter 2,Action,32000000,85167639,7,Yes,Yes,No,47.5612,6.2,1061,8,2005,87,1
733,Click,Drama,82500000,237681299,4,Yes,Yes,No,41.176631,6,2104,6,2006,107,1
734,The Core,Action,60000000,74208267,6,Yes,Yes,No,29.211255,5.4,516,3,2003,136,0
735,EuroTrip,Comedy,25000000,20796847,3,Yes,Yes,No,25.848003,6.5,656,2,2004,93,0
736,Nacho Libre,Comedy,32000000,80197993,3,Yes,Yes,No,14.642055,5.6,359,6,2006,92,1
737,One Hour Photo,Thriller,12000000,52223306,2,Yes,Yes,No,20.624896,6.6,435,8,2002,96,1
738,Final Destination 2,Horror,26000000,90426405,2,Yes,Yes,No,37.355826,5.9,1023,1,2003,90,1
739,Super Size Me,Drama,65000,28575078,1,Yes,Yes,No,10.400603,6.6,506,1,2004,100,1
740,Thir13en Ghosts,Thriller,0,0,4,Yes,Yes,No,20.392858,5.4,440,10,2001,91,0
741,Babylon A.D.,Action,70000000,72108608,8,No,Yes,No,27.568194,5.4,676,8,2008,101,0
742,Hollow Man,Action,95000000,190213455,2,Yes,Yes,No,28.200874,5.6,634,8,2000,112,1
743,Starsky & Hutch,Comedy,60000000,170268750,5,Yes,Yes,No,28.848842,5.6,644,3,2004,101,1
744,Thank You for Smoking,Drama,6500000,24793509,2,Yes,Yes,No,29.01153,7.1,664,9,2005,92,1
745,Renaissance,Animation,18000000,1831348,4,No,Yes,No,9.244181,6.7,77,3,2006,105,0
746,The Descent,Horror,0,0,3,No,Yes,No,23.413188,6.8,1005,7,2005,99,0
747,Zoolander,Comedy,28000000,60780981,9,Yes,Yes,No,38.0958,6.1,1337,9,2001,89,1
748,Surf's Up,Animation,85000000,149044513,2,Yes,Yes,No,23.230851,5.9,601,6,2007,85,0
749,The Royal Tenenbaums,Drama,21000000,71441250,1,Yes,Yes,No,24.13081,7.4,1286,10,2001,110,1
750,Kung Fu Hustle,Action,20000000,100914445,1,No,No,Yes,13.658985,7.2,831,2,2004,99,1
751,Charlie's Angels: Full Throttle,Action,120000000,259175788,4,Yes,Yes,No,33.616115,5.2,914,6,2003,106,1
752,DodgeBall: A True Underdog Story,Comedy,20000000,167722310,3,Yes,Yes,No,41.156217,6.2,981,6,2004,92,1
753,A Knight's Tale,Action,65000000,117487473,4,Yes,Yes,No,36.670399,6.6,907,5,2001,132,0
754,Johnny English,Action,40000000,160583018,2,No,Yes,No,28.029015,6,852,4,2003,88,1
755,Spy Kids 2: The Island of Lost Dreams,Action,38000000,119723358,1,Yes,Yes,No,24.085144,5.3,521,8,2002,100,1
756,Kung Fu Panda,Animation,130000000,631744560,1,Yes,Yes,No,84.689648,6.9,3145,6,2008,90,1
757,Man on Fire,Action,70000000,130293714,5,Yes,Yes,No,45.299089,7.3,1553,4,2004,146,0
758,Garfield: A Tail of Two Kitties,Animation,0,141702264,3,Yes,Yes,No,16.930969,5.1,464,6,2006,78,1
759,The Matador,Action,10000000,17297244,1,Yes,Yes,No,5.647538,6.2,136,5,2005,96,0
760,Bully,Drama,0,480811,1,Yes,Yes,No,6.677093,6.7,125,6,2001,113,1
761,A Prairie Home Companion,Drama,10000000,0,5,Yes,Yes,No,5.025446,6.4,81,6,2006,105,0
762,Final Destination,Horror,23000000,53302314,3,Yes,Yes,No,38.799596,6.4,1378,3,2000,98,1
763,Red Dragon,Thriller,78000000,209196298,2,Yes,Yes,No,10.083905,6.7,1115,9,2002,124,1
764,Jersey Girl,Comedy,35000000,36098382,4,Yes,Yes,No,14.699342,5.8,325,3,2004,102,0
765,Prince of Persia: The Sands of Time,Action,150000000,335154643,2,Yes,Yes,No,62.169881,6.2,2317,5,2010,116,1
766,FearDotCom,Thriller,40000000,18902015,8,Yes,Yes,No,6.756886,3.2,105,8,2002,101,0
767,House of Flying Daggers,Action,0,92863945,1,No,No,Yes,21.064082,7.1,439,5,2004,119,1
768,Rabbit-Proof Fence,Action,0,0,4,No,Yes,No,2.128211,6.8,84,2,2002,94,0
769,Boat Trip,Comedy,20000000,8586376,2,Yes,Yes,No,7.034752,4.7,146,10,2002,94,0
770,Timeline,Action,80000000,19480739,5,Yes,Yes,No,11.22268,5.4,318,11,2003,116,0
771,Tears of the Sun,Action,70000000,85632458,4,Yes,Yes,No,27.055085,6.4,573,3,2003,121,0
772,Blood Work,Drama,50000000,26199517,2,Yes,Yes,No,10.089065,6.1,206,8,2002,110,0
773,A Guy Thing,Comedy,20000000,17432163,2,Yes,Yes,No,5.596835,5.3,83,1,2003,101,0
774,Divine Secrets of the Ya-Ya Sisterhood,Drama,27000000,0,2,Yes,Yes,No,5.576937,5.6,65,6,2002,116,0
775,Big Momma's House,Comedy,30000000,173959438,2,Yes,Yes,No,24.389194,5.6,506,5,2000,98,1
776,Spider,Drama,0,0,8,No,Yes,No,6.948401,6.4,168,12,2002,98,0
777,The Fast and the Furious: Tokyo Drift,Action,85000000,158468292,1,Yes,Yes,No,8.282876,6.1,1705,6,2006,104,0
778,The Order,Drama,35000000,11560806,3,Yes,Yes,No,3.746806,4.8,91,9,2003,102,0
779,Paycheck,Action,60000000,96269812,6,Yes,Yes,No,29.018826,5.9,581,12,2003,119,0
780,Elizabethtown,Drama,57000000,52034889,4,Yes,Yes,No,22.894898,6.1,327,10,2005,123,0
781,Scooby-Doo,Comedy,84000000,275650703,3,Yes,Yes,No,31.435539,5.4,820,6,2002,88,1
782,Cheaper by the Dozen 2,Comedy,60000000,129181830,3,Yes,Yes,No,18.831023,5.7,526,12,2005,94,1
783,Ghost Ship,Thriller,35000000,68349884,5,Yes,Yes,No,27.724913,5.3,531,10,2002,91,0
784,The Italian Job,Action,60000000,176070171,2,Yes,Yes,No,62.766854,6.6,1919,5,2003,110,1
785,She's the Man,Drama,20000000,33889159,2,Yes,Yes,No,10.81439,6.4,671,3,2006,105,0
786,Black Christmas,Thriller,9000000,21510851,1,Yes,Yes,No,4.134327,4.8,119,12,2006,84,1
787,The Triplets of Belleville,Animation,8000000,1477676,3,No,No,Yes,13.944645,7.3,231,6,2003,80,0
788,Flyboys,Action,60000000,17800000,4,Yes,Yes,No,13.155999,6.3,271,9,2006,140,0
789,The Jacket,Drama,29000000,21126225,7,Yes,Yes,No,24.240361,6.8,455,3,2005,103,0
790,Infamous,Drama,13000000,1151330,4,Yes,Yes,No,3.680896,6.4,60,11,2006,110,0
791,Sideways,Drama,16000000,109502303,3,Yes,Yes,No,23.425431,6.9,478,10,2004,126,1
792,The Black Dahlia,Drama,50000000,49111202,8,Yes,Yes,No,15.213484,5.7,287,9,2006,121,0
793,Little Nicky,Comedy,85000000,0,3,Yes,Yes,No,18.335992,5.2,438,11,2000,90,0
794,Gone in Sixty Seconds,Action,90000000,237202299,2,Yes,Yes,No,52.995628,6.1,1485,6,2000,118,1
795,Pulse,Thriller,38000000,29907685,1,Yes,Yes,No,9.662715,5,150,8,2006,90,0
796,Bubble Boy,Drama,0,0,1,Yes,Yes,No,10.131123,5.1,163,8,2001,84,0
797,Igby Goes Down,Drama,9000000,4777465,1,Yes,Yes,No,2.062087,6.5,95,9,2002,97,0
798,Hollywood Ending,Drama,16000000,0,1,Yes,Yes,No,8.711782,6.4,113,5,2002,112,0
799,Children of Men,Action,76000000,69959751,3,Yes,Yes,No,35.387874,7.4,2071,9,2006,109,0
800,Lady in the Water,Drama,75000000,42285169,3,Yes,Yes,No,20.219385,5.3,409,7,2006,110,0
801,The Lost City,Drama,9600000,4386236,1,Yes,Yes,No,3.588529,6,24,9,2005,144,0
802,North Country,Drama,35000000,25224242,3,Yes,Yes,No,12.779201,6.8,125,2,2005,126,0
803,The Last Legion,Action,67000000,25303038,4,No,Yes,No,12.282911,5,207,4,2007,102,0
804,Swordfish,Action,102000000,147080413,5,Yes,Yes,No,36.788745,6.1,932,6,2001,99,0
805,Bubba Ho-tep,Comedy,1000000,0,2,Yes,Yes,No,9.954848,6.7,191,6,2002,92,0
806,My Summer of Love,Drama,0,0,0,Yes,Yes,No,3.939753,6,59,8,2004,86,0
807,Talladega Nights: The Ballad of Ricky Bobby,Comedy,72500000,162966177,2,Yes,Yes,No,12.599836,6.2,491,8,2006,116,1
808,A Good Year,Drama,35000000,42064105,2,Yes,Yes,No,16.782471,6.5,357,9,2006,118,0
809,Where the Truth Lies,Drama,25000000,0,1,Yes,Yes,No,4.051221,5.9,66,10,2005,107,0
810,Unbreakable,Drama,75000000,248118121,4,Yes,Yes,No,42.006908,6.9,1946,11,2000,106,1
811,Firewall,Thriller,45000000,82800000,5,Yes,Yes,No,18.186026,5.6,267,2,2006,105,0
812,Cellular,Action,25000000,56422687,1,Yes,Yes,No,24.459948,6.1,537,9,2004,94,1
813,Epic Movie,Action,20000000,86865564,4,Yes,Yes,No,6.064638,3.2,326,1,2007,86,1
814,Step Up,Drama,12000000,114194847,4,Yes,Yes,No,45.477802,6.7,1060,8,2006,104,1
815,Goal!: The Dream Begins,Drama,30000000,27610873,3,Yes,Yes,No,16.541791,6.6,238,6,2005,118,0
816,Gridiron Gang,Action,30000000,41480851,1,Yes,Yes,No,9.278361,6.5,206,9,2006,125,0
817,The Break-Up,Comedy,52000000,204999686,3,Yes,Yes,No,26.251217,5.6,832,6,2006,106,1
818,Head of State,Comedy,0,0,2,Yes,Yes,No,3.457194,5.3,71,1,2003,95,0
819,Serendipity,Comedy,28000000,77516304,3,Yes,Yes,No,14.530803,6.6,521,10,2001,90,1
820,The Sisterhood of the Traveling Pants,Drama,25000000,39053061,3,Yes,Yes,No,17.17372,6.3,386,6,2005,119,0
821,The Night Listener,Drama,0,0,3,Yes,Yes,No,7.173059,5.5,57,2,2006,91,0
822,Sublime,Thriller,0,0,1,Yes,Yes,No,6.833164,5.3,33,6,2007,113,0
823,Lords of Dogtown,Drama,25000000,13411957,2,Yes,Yes,No,8.127728,7,210,6,2005,107,0
824,The Hills Have Eyes,Thriller,15000000,69623713,4,Yes,Yes,No,35.107857,6.1,705,3,2006,107,1
825,The Hills Have Eyes 2,Thriller,15000000,0,3,Yes,Yes,Yes,17.141376,5.2,351,3,2007,89,0
826,Employee of the Month,Comedy,12000000,38368909,1,Yes,Yes,No,9.559737,5.3,153,10,2006,103,1
827,The Fast and the Furious,Action,38000000,207283925,4,Yes,Yes,No,6.909942,6.6,3428,6,2001,106,1
828,Bridget Jones: The Edge of Reason,Comedy,50000000,40203020,6,Yes,Yes,No,28.803802,6.1,750,11,2004,108,0
